StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,IH_1,IH_2,IH_3,IH_4,IH_5,IH_6,IH_7,IH_8,IH_9,IH_10,IH_11,IH_12,IH_13,IH_14,IH_15,IH_C1,IH_C2,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,O_1,Q210,Q212,Q214,Q216,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,O_2,Q198,Q200,Q202,Q204,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,O_3,Q186,Q188,Q190,Q192,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,O_4,Q175,Q177,Q179,Q180,Q206_First Click,Q206_Last Click,Q206_Page Submit,Q206_Click Count,O_5,Q163,Q165,Q167,Q169,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,O_6,Q151,Q153,Q155,Q157,gender,gender_3_TEXT,age,education,income,religion,religion_14_TEXT,race,race_11_TEXT,conservatism,English,debrief_1,debrief_2,debrief_3,debrief_4,attn,SC3,SC5,randomCode
12/10/2018 13:31,12/10/2018 13:51,IP Address,100,1231,TRUE,12/10/2018 13:51,R_3kH9hEpCWYoKX9d,anonymous,EN,I agree,Agree strongly 9,8,6,6,4,8,Disagree strongly 1,8,7,6,Agree strongly 9,6,7,Agree strongly 9,Agree strongly 9,3,7,35.878,126.307,128.059,6,"
Definitely yes

 9",Yes,"Labor and cost of ingredients, as well as equipment costs.",40 or more years,I eat about 4 large slices of pizza per week.,15.931,47.604,72.064,5,"
 Really not good

 1",Yes,"Price of tickets is astronomical, and wages have not risen in a long while.",40 or more years,I do not watch football. ,31.585,134.621,146.083,5,"
	Really not good

	1
",Yes,"American society does not regard a bicycle or sharing a ride as a positive thing, it somehow impacts the perception of others in a negative way.",40 or more years,"I don't drive. I actually do ride a bicycle or rideshare everywhere I go, and I live in the midwest (Springfield, MO).",49.558,216.817,219.673,9,"
Definitely yes

 9",Yes,"Videos relate information without the necessity of knowing how to read. Therefore, they are in massive demand, and will continue to be. I guess my answer really is the decline of literacy coupled with the boom of school age persons..",30-40 years,"I watch about 2 hours of tv per night, on the weekends maybe a bit more depending upon what's going on. I watch everything via streaming services, so very little live tv. ",57.316,114.596,116.234,5,"Definitely yes

 9",Yes,The availability of free information flow (regardless of said data's validity).,10-20 years,I use both email and internet search engines daily.,29.036,130.382,132.105,6,7,No,"Americans are infatuated with single serve anything, we somehow thing it's more ""convenient""..",30-40 years,"I drink coffee every day. I most recently use instant coffee, but that's only due to a lack of counter space. I prefer drip-brew coffee, and have been known to drink leftover coffee the next day.",Male,,35,Some college,"$5,000 to $10,000",Atheist,,White/European American,,3,Native (learned from birth),"Nope, everything was pretty clear.","To be frank, we went in so many directions... Perhaps it was about willingness to go with a study's findings? I'm honestly not sure.","Likely, because the topics were so broad. For the same reason, I'm at a loss for what the intent may have been.",Thanks for the opportunity to participate!,Yes,103,1,387888
12/10/2018 13:43,12/10/2018 13:52,IP Address,100,513,TRUE,12/10/2018 13:52,R_3nBGmTu6D4kSAvr,anonymous,EN,I agree,Agree strongly 9,4,2,Disagree strongly 1,2,3,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,3,8,Agree strongly 9,Disagree strongly 1,6,3,3,7,0.923,53.975,54.801,9,"
5",No,"The supply and demand. The demand is constant so there's no need to fluctuate prices, but ingredients are cheap.",20-30 years,I usually eat pizza once every week or two.,22.319,64.908,65.818,6,5,No,"Tickets are expensive, it's time consuming, and there's a finite number of seats.",20-30 years,"I watch the Super Bowl, mostly for the parties I'm invited to.",7.35,45.309,46.587,6,5,Yes,"The ride is too long, weather is unpredictable, and it's easier to drive in most places.",30-40 years,"I drive to work, and when running errands like most people.",7.825,53.278,54.168,5,5,No,"The convenience of on demand viewing, the lowering of prices, and the increased accessibility of platforms.",10-20 years,"I watch about five shows a week, along with random watching totals about 10 hours maybe.",22.714,76.534,77.452,5,5,Yes,"The accessibility of the internet for more people through cheaper computers, more infrastructure, and cheaper internet.",10-20 years,"More intensive then most, but the same activities.",5.121,25.978,33.776,6,5,Yes,It's convenient and becoming more affordable.,20-30 years,"I drink around three cups every more, sometimes one or more at night.",Male,,35,"Bachelor's (B.A., B.S.)","$50,000 to $65,000",Agnostic,,White/European American,,Moderate 5,Native (learned from birth),No.,I don't know.,"Most likely, there usually is.",No.,Yes,54,1,642635
12/10/2018 13:47,12/10/2018 13:56,IP Address,100,525,TRUE,12/10/2018 13:56,R_31XJO2VsTYF9uKY,anonymous,EN,I agree,Agree strongly 9,Agree strongly 9,6,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,8,Agree strongly 9,3,7,3.314,44.401,45.546,11,"
Definitely yes

 9",Yes,150,20-30 years,savory dish of Italian origin,4.478,56.798,58.016,8,"
 Really good

 9",Yes, almost three quarters of men (73%) and over half of women (55%),20-30 years, leading people to watch in different ways,8.439,77.983,80.84,8,"
	Really good

	9
",Yes,"Bike commuting doesn't have to mean riding every day, or even riding the whole way in. You can shorten a really long commute by mixing in public transit ",10-20 years,slow and safely ,3.41,36.539,37.582,6,"
Definitely yes

 9",No,The increase in TV viewing in the U.S. and worldwide can be attributed at least in part to the growing number of available devices and services that can display both live and recorded video. ,10-20 years,sometimes ,6.127,28.326,29.118,6,"Definitely yes

 9",Yes,google ,20-30 years,goodm,12.427,52.947,53.31,13,"
	Really good

	9
",No,"adult population now drinks coffee. At the same time, daily consumption remained strong ",20-30 years,black coffee,Female,,28,"Bachelor's (B.A., B.S.)","$25,000 to $35,000",Muslim,,White/European American,,Strongly  conservative 9,Native (learned from birth),no,opinions and lifestyle,very good ,awesome,Yes,131,1,302450
12/10/2018 13:42,12/10/2018 13:56,IP Address,100,832,TRUE,12/10/2018 13:56,R_3I5hdejnq97eKA0,anonymous,EN,I agree,Agree strongly 9,8,Neither agree nor disagree 5,7,6,Agree strongly 9,Neither agree nor disagree 5,7,8,8,8,7,8,Agree strongly 9,8,3,7,3.688,127.768,129.494,12,"
5",Yes,I think that since it has become such a popular option for families that it's why prices are where they are now. Pizza has become a popular go to because it feeds a family at a cheap price.,10-20 years,I don't really have a habit. I just like my greasy pizza every now and then.,5.606,74.475,75.75,20,"
 Really good

 9",Yes,I don't think many people can afford the game tickets or airline tickets to attend games.,10-20 years,I always watch football on Thursday nights and Sunday's. It's my favorite past time.,6.033,93.518,105.72,16,5,No,I think right now with gas prices being so low that everyone would rather go alone than in carpools.,10-20 years,Singing every morning before work. It wakens me up while stuck in traffic.,4.648,66.151,86.869,12,7,Yes,"I think since most people are always on the go they now like to watch their movies that way as well. Whether on a phone or tablet, they have the option of watching their favorite show without the need of a TV.",10-20 years,Every night I have to Netflix and chill. It's the only thing that makes me comfortable and sleepy.,6.595,96.7,126.2,15,5,Yes,Possibly since it is more affordable now than it ever has been to purchase laptop and desktop computers. I think it also contributes as more people use phones now that have that feature as well.,20-30 years,Right now my email habits are collecting coupons to save on everyday necessities. My internet habits also consist of the same thing.,6.984,45.107,59.353,11,7,Yes,Because a lot of people are on the go and preparing for work.,10- 20 years,I have to have a fresh cup of coffee every morning before heading off to work. It's the only thing that perks me up.,Female,,34,Some college,"$25,000 to $35,000",Protestant,,White/European American,,2,Native (learned from birth),Not at all.,Possibly the opinions on different lifestyles in the news.,"I don't think so. Although, I'm not quite sure.",I loved this study. Thank you!,Yes,112,1,360287
12/10/2018 13:38,12/10/2018 14:00,IP Address,100,1335,TRUE,12/10/2018 14:00,R_3PRCDg7k4R8VhKX,anonymous,EN,I agree,8,Agree strongly 9,Agree strongly 9,8,Agree strongly 9,7,8,7,8,8,8,Agree strongly 9,8,8,7,7,7,12.685,239.753,240.96,35,8,Yes,3 billion pizzas 350 slices of pizza sold ,20-30 years,The Daily reports that Americans consume a staggering 100 acres of pizza a day,18.196,85.603,87.478,13,7,Yes," 6% say they watch games live, as in they attend the games in person",20-30 years,U.S. adults say that they watch NFL football on their television,16.699,172.26,173.099,19,8,Yes,THE AMERICANS BIKE WORK ON THE PASSION,20-30 years,"I AM DRIVING LORRY ,TRUCK, CAR, BIKE AND ALSO",7.518,93.536,95.748,14,7,Yes,TV,20-30 years,MOVIES,9.032,201.959,203.503,17,7,Yes,the internet population has grown substantially since 2002,20-30 years,users of both email and search engines has also grown,9.814,86.858,87.254,10,8,Yes,adult population now drinks coffee,30-40 years,drink coffee at least once per week,Male,,35,"Master's (M.A., M.S.)","$50,000 to $65,000",Roman Catholic,,Black/African American,,8,Native (learned from birth),NO CONFUSING,I THINK YOU READ,YES,NICE,Yes,121,0,806852
12/10/2018 13:43,12/10/2018 14:02,IP Address,100,1152,TRUE,12/10/2018 14:02,R_3e2EbF09XAePn6t,anonymous,EN,I agree,6,7,7,Neither agree nor disagree 5,6,6,7,8,8,6,7,Neither agree nor disagree 5,Neither agree nor disagree 5,7,7,3,7,3.01,64.67,65.444,6,3,Yes,The amount of consumption...,40 or more years,Once a month or so,92.805,138.548,157.146,6,5,Yes,The availability of the game?,10-20 years,Do not view,12.768,48.249,81.639,6,3,No,The commute may not be appropriate for the bicycle.,30-40 years,Drive everyday,7.239,179.054,180.618,6,7,Yes,Advancements in technology and a competitive field in the technological industry,40 or more years,Not too much,69.006,141.639,142.539,5,6,Yes,Advancements in technology,10-20 years,I regularly use email and search engines to find information.,38.545,72.999,109.403,7,6,Yes,"Efficiency , it's fast and convenient.",40 or more years,Habitual coffee drinker,Female,,38,High school/GED,"$15,000 to $25,000",Muslim,,White/European American,,Moderate 5,Native (learned from birth),no,peoples understandings of explanations,yes not sure,no,Yes,97,1,205524
12/10/2018 13:54,12/10/2018 14:03,IP Address,100,509,TRUE,12/10/2018 14:03,R_1BRhIGK2eLzUyhl,anonymous,EN,I agree,Agree strongly 9,6,6,3,8,Neither agree nor disagree 5,Neither agree nor disagree 5,Agree strongly 9,Agree strongly 9,7,4,6,8,Agree strongly 9,7,3,7,17.039,45.784,46.546,4,"
5",Yes,The current demand for Pizza; if it was less popular it would be less expensive.,20-30 years,I eat it about once a month.,30.22,42.054,45.609,5,6,Yes,People can't afford it.,20-30 years,I watch every market game every week.,4.384,58.39,59.706,8,3,Yes,Because we're all fat and would rather drive.,40 or more years,I drive every day to work and to run errands.,23.238,57.582,58.218,4,6,Yes,More people buying smartphones and tablets.,40 or more years,I watch the news for a couple of hours a day; I don't care for TV shows.,11.665,65.164,65.987,5,8,Yes,More devices available that can be used to access the internet; more smartphones and tablets.,10-20 years,"I use the internet every day for entertainment and for paying bills, shopping, etc.",8.754,63.249,63.894,5,5,Yes,"People enjoy it, I guess.",10- 20 years,I don't drink coffee.,Male,,25,High school/GED,"$35,000 to $50,000",Atheist,,White/European American,,8,Native (learned from birth),No.,No idea.,No.,No.,Yes,101,1,866395
12/10/2018 12:49,12/10/2018 14:03,IP Address,100,4418,TRUE,12/10/2018 14:03,R_3iC14h813KtTS0O,anonymous,EN,I agree,8,7,7,4,Neither agree nor disagree 5,6,7,8,8,8,7,8,4,8,8,3,7,101.852,121.541,127.856,7,3,No,everyone loves it,20-30 years,i eat it once a month,64.298,106.402,107.416,10,5,Yes,people who like to drink with friends,20-30 years,only live once a decade,1581.594,1658.801,1677.971,7,3,Yes,nowhere to put bikes and going to work is not close,10-20 years,I drive to work,559.655,644.038,645.155,9,6,Yes,technology is expanding,20-30 years,I watch netflix and don't watch anything live,71.524,90.771,97.824,7,"Definitely yes

 9",Yes,more people are tech savvy,30-40 years,i check them both daily,161.872,302.644,303.607,17,2,Yes,its really convenient especially for lone coffee drinkers or people who drink coffee at different times,10- 20 years,I sometimes drink out of my k cup machine but I usually get my coffe once every month from a gas station,Female,,27,Some college,"$80,000 to $100,000",Orthodox such as Greek or Russian Orthodox,,White/European American,,4,Native (learned from birth),no,idk,idk,no,Yes,103,1,675018
12/10/2018 13:41,12/10/2018 14:04,IP Address,100,1352,TRUE,12/10/2018 14:04,R_23TyiVqqiib240K,anonymous,EN,I agree,3,4,Neither agree nor disagree 5,6,6,4,6,Disagree strongly 1,Neither agree nor disagree 5,7,4,6,6,Agree strongly 9,3,Neither agree nor disagree 5,Neither agree nor disagree 5,28.735,131.202,144.469,16,6,No,I think it's the cheap ingredients.,20-30 years,I don't eat pizza often.,3.179,29.185,38.858,8,6,No,People have things to do.,20-30 years,I barely watch football.,253.899,407.52,408.091,15,6,Yes,I think nobody wants to get killed on their way to work.,30-40 years,I drive once a week.,466.832,509.89,510.696,6,6,Yes,I am not sure,20-30 years,I watch every now and then.,3.245,11.672,32.561,7,6,Yes,More devices being available on the market.,10-20 years,I use these tools everyday.,3.638,40.72,41.178,10,7,No,It could be the unique quality of it.,10- 20 years,I drink it every day.,Male,,25,"Bachelor's (B.A., B.S.)","$35,000 to $50,000",Protestant,,White/European American,,Strongly  conservative 9,Native (learned from birth),No,different scenarios of social things.,I dont know,No,Yes,75,0,522693
12/10/2018 14:00,12/10/2018 14:07,IP Address,100,423,TRUE,12/10/2018 14:07,R_vjcTbOgnx5VPEM9,anonymous,EN,I agree,8,Disagree strongly 1,Disagree strongly 1,2,8,Agree strongly 9,Disagree strongly 1,Neither agree nor disagree 5,Agree strongly 9,8,Agree strongly 9,2,6,7,8,3,7,7.826,11.143,40.11,2,4,No,I have no idea.  Market competition.,30-40 years,I eat it a few times a year.,0,0,36.361,0,5,No,DVRs,40 or more years,I don't watch it.,15.556,15.556,39.22,1,"
	Really not good

	1
",No,Long commutes,40 or more years,I telecommute,18.33,45.896,72.457,9,4,Yes,Everyone is online all the time and want to be able to watch video everywhere.,40 or more years,I don't own a tv.  I stream stuff on Netflix on my computer.,0,0,43.535,0,"Definitely yes

 9",Yes,Smartphones,20-30 years,I google at least 20 times a day.,0,0,44.6,0,3,Yes,You can buy it everywhere.,40 or more years,I don't drink it ever.,Female,,37,"Bachelor's (B.A., B.S.)","$25,000 to $35,000",Jewish,,White/European American,,Strongly liberal 1,Native (learned from birth),no,not sure,No,No,Yes,84,1,400757
12/10/2018 13:40,12/10/2018 14:07,IP Address,100,1591,TRUE,12/10/2018 14:07,R_2doRfFro90okRmw,anonymous,EN,I agree,7,6,7,Disagree strongly 1,2,6,Disagree strongly 1,7,6,8,6,7,2,7,6,3,7,6.727,66.422,98.492,8,8,Yes,The increasing prices of cheese and other ingredients. The high cost of running ovens.,30-40 years,I eat it about once a week.,159.66,571.319,588.274,10,3,No,"Tickets are expensive. It's more convenient to watch at home, especially with the prevalence of televisions, computers, tablets and smartphones.",40 or more years,I don't watch football at all.,9.957,97.956,99.782,8,"
	Really not good

	1
",No,"Americans like cars. There aren't enough bike lanes, although there are lots of highways.",40 or more years,I don't drive. I don't have a license.,17.328,142.96,145.065,12,5,Yes,"The proliferation of smartphones and tablets, as well as that of streaming services.",40 or more years,"I don't have cable, not do I own a television. There are 3 series I watch on Netflix.",15.969,257.719,303.002,11,8,Yes,"People have internet access on their phones, even if they do not usually ise computers. The internet has become necessary for many things.",20-30 years,"I have three email addresses I actively use, and a couple of backups. I use Google several times a day, and occasionally use DuckDuckGo.",12.004,65.475,80.308,8,6,Yes,It's convenient. Differnt members of a business or household can have different flavors or roasts.,40 or more years,I drink a cup every morning--a large cup of strong coffee.,Female,,59,"Doctoral (Ph.D., J.D., M.D.)","$50,000 to $65,000",Other,Unitarian-Universalist,"White/European American,Black/African American,Native American/Pacific Islander",,Strongly liberal 1,Native (learned from birth),no,I don't know,Maybe? I dunno.,Nope.,Yes,79,1,27590
12/10/2018 13:54,12/10/2018 14:09,IP Address,100,875,TRUE,12/10/2018 14:09,R_3NEUuRC7XLOtt5T,anonymous,EN,I agree,7,Neither agree nor disagree 5,4,4,7,6,Neither agree nor disagree 5,6,6,4,4,7,4,6,4,3,7,3.373,101.802,102.434,32,6,Yes,popularity,20-30 years,i love it,1.06,25.884,26.6,22,4,Yes,jobs,30-40 years,i do not,27.346,59.204,59.744,25,5,Yes,convience of cars,40 or more years,i drive regulalry,0.761,57.764,58.285,30,6,No,technology,40 or more years,hulu really.,0.881,34.205,35.257,29,8,Yes,technological advancement,10-20 years,"frequent, every day",10.905,129.618,143.499,35,4,No,tradition,40 or more years,i dont,Male,,20,Some college,"$50,000 to $65,000",Protestant,,Black/African American,,2,Native (learned from birth),,unsure,no,,Yes,79,1,23959
12/10/2018 13:59,12/10/2018 14:09,IP Address,100,628,TRUE,12/10/2018 14:09,R_1n2fzqx3Y3v9c8t,anonymous,EN,I agree,Agree strongly 9,Agree strongly 9,Disagree strongly 1,Disagree strongly 1,Neither agree nor disagree 5,2,Disagree strongly 1,Agree strongly 9,8,8,6,7,Disagree strongly 1,7,8,3,7,16.064,20.37,39.311,6,"
5",No,Price of the ingredients and delivery costs. ,20-30 years,My family eats take-out pizza at least once a month. ,13.232,27.432,41.432,4,5,Yes,The cost of the tickets and the time needed to be at the game. ,20-30 years,None,40.096,70.621,72.512,7,3,Yes,Americans aren't too keen on exercise. Commutes may also be longer and less safe via biking. ,10-20 years,None,12.187,31.583,46.932,9,5,Yes,People are able to control when they watch something. You don't need to be home at a certain time. ,10-20 years,I watch maybe an hour or two per week. ,11.842,56.977,65.989,3,8,Yes,"More/better access (affordability, internet access by city, etc). ",10-20 years,I check my email several times a day. I also use Google search a lot. ,11.249,11.249,36.674,1,5,Yes,Machines like the Keurig. ,20-30 years,I have a cold coffee every once in a while (Starbucks refrigerated). ,Female,,30,"Bachelor's (B.A., B.S.)","$65,000 to $80,000",Jewish,,Black/African American,,Moderate 5,Native (learned from birth),none,opinions on various issues,no,none,Yes,82,1,553694
12/10/2018 13:56,12/10/2018 14:13,IP Address,100,988,TRUE,12/10/2018 14:13,R_SBGXG45t3y101SV,anonymous,EN,I agree,Agree strongly 9,8,Agree strongly 9,8,6,8,4,8,7,6,6,6,8,Agree strongly 9,8,3,7,39.422,124.932,126.728,5,7,Yes,The cost of the supplies that make a pizza and the effort it takes to make a pizza.,30-40 years,"My pizza consumption habits are somewhat unhealthy to be honest. I really like pizza and I will order a pizza probably around 2-3 times a month, while also getting a slice somewhere while I am out and about on average like once a week.",18.223,151.069,152.438,5,4,No,"People at work or school are not able to watch it live, some people may not get all channels on their TV, some people are switching from cable TV to streaming services which some do not include live tv.",40 or more years,I don't watch football whatsoever unless I am at a party or friends house.,10.124,81.879,82.932,5,7,Yes,"Laziness, availability of ride sharing services, carpooling and public transportation. ",40 or more years,I do not drive or own a drivers license. I do not ride a bike so I am forced to take public transportation and also use ride sharing services such as Lyft and Uber.,57.841,137.492,138.943,7,8,Yes,"New technology coming out rapidly. The capabilities of smartphones, gaming consoles, streaming sites on computers and apps.",30-40 years,I would say my tv viewing habits are about the same compared to the article. I watch a couple hours each night with my girlfriend and sometime an hour or 2 during the day time.,38.142,131.062,132.462,5,8,Yes,"The readily available services smartphones possess, the speed and popularity among computers and tablets. Also younger kids owing electronic devices.",20-30 years,More than average I would say. I am on my phone almost all day every day. I am also a full time college student so I frequently am searching information on the internet and using student email along with my personal email.,17.29,87.459,113.822,5,6,Yes,New technology such as Keurigs and popularity with coffee shops and people drinking coffee in the morning for work and school.,40 or more years,"My coffee drinking habits are somewhat irregular. I drink about 3-4 cups a day. I am a sober recovering alcoholic/drug addict, and coffee is available at every AA meeting I attend. I feel it has also replaced drugs and alcohol for me. I drink it in the morning, at a meeting once or twice a day and I usually go to a coffee shop a couple times a week.",Male,,24,Some college,"$15,000 to $25,000",Other,Spiritual,"White/European American,Latino/Latina",,2,Native (learned from birth),No.,Personal opinions on american habits and whether they are good or bad.,No.,No.,Yes,110,1,77116
12/10/2018 14:07,12/10/2018 14:15,IP Address,100,488,TRUE,12/10/2018 14:15,R_1ibck8KvfhNIvNK,anonymous,EN,I agree,6,7,4,6,3,Neither agree nor disagree 5,Disagree strongly 1,Neither agree nor disagree 5,7,Agree strongly 9,6,Neither agree nor disagree 5,3,Neither agree nor disagree 5,4,3,4,0.95,45.267,47.865,10,4,Yes,It's delicious and demand is high.,20-30 years,I try to avoid it but I love it.,0.968,35.445,35.976,9,4,Yes,It's slowly declining in popularity.,10-20 years,I watch big games.,1.032,38.168,40.397,11,4,Yes,It's inconvenient ,20-30 years,I drive 10 minutes to work.,0.902,35.635,37.118,10,5,Yes,More shows to watch.,20-30 years,2-3 hours a day.,0.85,86.758,88.302,10,4,Yes,Everything is on the internet.,10-20 years,I life in my inbox and browser.,8.092,56.603,58.052,10,4,Yes,It's faster and people tend to be on the move.,20-30 years,I use kcups.,Male,,33,"Master's (M.A., M.S.)","$50,000 to $65,000",Jewish,,White/European American,,3,Native (learned from birth),no,I have no idea.,I have no idea.,No,Yes,76,2,672643
12/10/2018 14:21,12/10/2018 14:29,IP Address,100,483,TRUE,12/10/2018 14:29,R_1Q6qxDL1qIE9TuB,anonymous,EN,I agree,6,8,8,Neither agree nor disagree 5,7,6,2,7,2,7,2,Neither agree nor disagree 5,Neither agree nor disagree 5,8,8,3,7,26.381,67.516,68.397,5,3,Yes,The price has to remain fairly low for people to feel good about consuming pizza casually.,20-30 years,I eat pizza 2-3 times a month.,11.341,40.989,41.5,8,4,Yes,Tickets for live events can be expensive.,30-40 years,I rarely watch football.,21.075,46.779,63.346,5,3,Yes,Urban sprawl. ,40 or more years,I drive when short on time or when the distance is too great to walk or bike.,6.244,24.545,50.511,5,8,Yes,Watching videos is one of the top hobbies of Americans/ the companies' consumer markets.,20-30 years,I watch 1-2 hours of TV daily. ,11.789,31.271,39.041,5,"Definitely yes

 9",Yes,Computers are more ubiquitous and cheaper.,10-20 years,I use email and internet search daily.,7.932,33.347,34.322,5,7,Yes,It is convenient and requires the least amount of effort.,30-40 years,I drink 1-2 cups of coffee daily. ,Female,,27,"Bachelor's (B.A., B.S.)","$10,000 to $15,000",Atheist,,Asian/Asian American,,2,Native (learned from birth),No,Social attitudes.,No.,No.,Yes,86,1,952961
12/10/2018 14:19,12/10/2018 14:31,IP Address,100,770,TRUE,12/10/2018 14:31,R_1PUHbhubtvfTi2F,anonymous,EN,I agree,6,3,Disagree strongly 1,Disagree strongly 1,3,2,Disagree strongly 1,7,8,6,Disagree strongly 1,7,Neither agree nor disagree 5,Agree strongly 9,Agree strongly 9,3,7,0.624,40.136,41.322,11,"
Definitely yes

 9",No,supply and demand,40 or more years,I eat it about 10 times a year,14.718,80.903,88.552,12,3,Yes,It's expensive and TV is high quality,40 or more years,Don't watch,1.764,69.714,70.712,11,2,Yes,"Commute its too long, people are too lazy.",40 or more years,I drive to and from work every day.,0.734,57.238,57.943,10,5,Yes,Technology improving,40 or more years,I watch shows on netflix or youtube but I don't own a regular TV,0.903,61.012,61.787,10,"Definitely yes

 9",Yes,Greater access via phones,20-30 years,Use both every day,0.796,57.813,58.567,13,7,Yes,"Lots of people only want one cup of coffee, especially if they live alone",40 or more years,I drink about one per week,Female,,33,"Bachelor's (B.A., B.S.)","$25,000 to $35,000",Atheist,,White/European American,,Strongly liberal 1,Native (learned from birth),no,If we'll endorse made up meanings if they sound good,"Probably, but I don't know",,Yes,69,1,825267
12/10/2018 14:19,12/10/2018 14:32,IP Address,100,734,TRUE,12/10/2018 14:32,R_1NgJstc9Na01Myd,anonymous,EN,I agree,6,7,Agree strongly 9,Disagree strongly 1,Neither agree nor disagree 5,3,4,7,8,6,Neither agree nor disagree 5,6,6,7,8,3,7,3.279,93.769,94.556,12,4,Yes,Probably raw produce and ingredients contribute to the pricing. Labor costs are minimal because they are divided across so many pizzas.,20-30 years,"I have four pizza slices once a month, at most.",7.452,147.792,148.697,11,5,Yes,The expense and the fact that stadiums only hold so many people.,30-40 years,I watch one football game a week via TV.,4.626,69.059,69.901,10,3,Yes,"Because in America the cities are quite spread out, so most people work quite far away from their homes.",40 or more years,"I drive thirty minutes to and from work every day and run errands on the weekend, all using my car.",3.659,72.176,73.088,10,3,Yes,The increase of bandwidth of the internet and smartphone design.,40 or more years,"I watch a couple hours of TV each night via individual apps on ROKU , not TV or cable.",4.533,50.312,73.467,11,7,Yes,More people on the planet are being exposed to internet by the spread of satellite availability.,20-30 years,I search the internet a dozen times a day and use email all day in my business and personal life.,4.349,41.555,53.517,13,3,Yes,The variety and cost savings.,30-40 years,I do not drink coffee of any kind.,Male,,51,Some college,"$80,000 to $100,000",Protestant,,White/European American,,7,Native (learned from birth),"No, not at all.","Not sure, I was focusing on the individual questions, not an overall theme.","Maybe, not sure.","No, none. Thank you.",Yes,88,1,929112
12/10/2018 14:15,12/10/2018 14:34,IP Address,100,1128,TRUE,12/10/2018 14:34,R_3DuutIBCIwEqs06,anonymous,EN,I agree,8,7,8,Neither agree nor disagree 5,6,Neither agree nor disagree 5,7,8,6,8,6,6,Neither agree nor disagree 5,6,4,3,7,10.63,105.597,106.392,5,6,No,"Pizza is a very popular food in America, and people will eat it regardless of the price.",20-30 years,My family will order pizza about once every couple weeks.,40.182,147.542,177.461,5,5,Yes,"Tickets are expensive for football games, as well as the food and beverage at stadiums.  Also, fewer and fewer people are willing to commute to football games or deal with the crowds, especially in colder weather cities.",10-20 years,"I used to be a pro football fan, but the game and players have changed so much in recent years that I quit following it.",74.515,199.914,201.917,6,4,Yes,"Distance, weather, (in)convenience, lack of dedicated bike lanes in most cities and towns.",20-30 years,I drive alone to work 5 days a week.,36.569,87.198,150.51,5,5,Yes,People have busy schedules and want to choose what they want to watch at a time convenient for them.,40 or more years,"I rarely watch TV except on the weekends when I'm not working, via streaming services (Netflix and Hulu).",29.783,128.903,157.748,5,"Definitely yes

 9",Yes,The vast availability of information available over the internet.,10-20 years,I use Google search for just about every question I have.  I use email mainly for official or business correspondence.,27.961,46.433,94.267,5,5,Yes,"People like their coffee fresh instead of sitting in a coffeepot all day, and they like it specifically tailored to their tastes.",20-30 years,I don't drink coffee.,Male,,50,"Bachelor's (B.A., B.S.)","$35,000 to $50,000",Mormon,,White/European American,,7,Native (learned from birth),no,opinions and lifestyle,no,no,Yes,95,1,878656
12/10/2018 14:14,12/10/2018 14:36,IP Address,100,1335,TRUE,12/10/2018 14:36,R_1GxFmcfHxdQSrVb,anonymous,EN,I agree,8,7,7,Neither agree nor disagree 5,8,8,6,8,7,8,6,7,Neither agree nor disagree 5,7,7,3,7,45.782,186.297,188.365,6,7,Yes,"I don't know, but in my area pizza is the most affordable restaurant option.",20-30 years,As a diabetic I don't eat much pizza.  I will occasionally eat 1 slice once every couple of months.,45.308,66.557,105.382,5,8,Yes,I really don't know.  I would only want to watch any sports event live.,30-40 years,I don't watch football.,73.354,225.737,226.995,6,5,Yes,"Accept for the large cities, most Americans live to far away to bike to work.  Also, America is not very bike friendly.  Everywhere around where I live is too dangerous to bike.",40 or more years,"I don't work from home, so I don't drive as much as others.  There is no public transportation, so I have to drive everywhere I want to go.",58.443,168.988,170.779,5,"
Definitely yes

 9",Yes,Watching TV is still the most economic form of entertainment.,40 or more years,My TV is on 24 hours a day.  I even have to have it on to go to sleep.  Most of the time it's just background noise.,58.948,156.426,198.689,6,"Definitely yes

 9",Yes,"All young people use the internet.  As the older generation dies out, internet usage will go up.",20-30 years,I don't use email very much.  Usually what I get is scam.  I do use search engines multiple times a day.,39.917,82.008,83.525,5,7,Yes,It is easy and convenient.,40 or more years,I drink two cups of single brew coffee a day.,Female,,55,High school/GED,"$50,000 to $65,000",Protestant,,White/European American,,Moderate 5,Native (learned from birth),no,I don't know.,There usually is.  I don't know what it is though.,no,Yes,104,1,285992
